"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Location Sales Volume Actual"
"Denny's Doughnuts & Bakery Inc","","Denny","Marquart","1503 E Vernon Ave","Bloomington","IL","61701","DENNY'S DOUGHNUTS & BAKERY INC","Unverified","$643,000"
"Don Criollo Bakery & Rstrnt","","Saul","Graciani","17631 W Neuberry Ridge Dr","Lockport","IL","60441","","Unverified","$582,000"
"Dong Kee Co Bakery","","Herman","Wong","2252 S Wentworth Ave # 1","Chicago","IL","60616","","Unverified","$617,000"
"Doughs Guys Bakery","","Sharon","Oneill","12248 S Harlem Ave","Palos Heights","IL","60463","","Verified","$728,000"
"Duke Bakery","","Amy","Hollis","819 Henry St","Alton","IL","62002","DUKE BAKERY INC","Verified","$651,000"
"Dunajec Bakery & Deli","","Jan","Zych","5062 S Archer Ave","Chicago","IL","60632","","Unverified","$789,000"
"Entenmann's Bakery","BIMBO BAKERIES USA INC","Sherry","Swinney","2945 W Addison St","Chicago","IL","60618","","Unverified","$766,000"
"Entenmann's Bakery","BIMBO BAKERIES USA INC","Kathy","Rodriguez","712 S Rand Rd","Lake Zurich","IL","60047","","Unverified","$630,000"
"Entenmann's Bakery","BIMBO BAKERIES USA INC","","","7931 Golf Rd","Morton Grove","IL","60053","","Unverified","$958,000"
"Entenmann's Bakery","BIMBO BAKERIES USA INC","Maria","Quezada","10802 S Cicero Ave","Oak Lawn","IL","60453","","Closed/Out of Business","$958,000"
"Fiene's Bakery","","Meghan","Fiene","1603 N Aurora Rd # 101-103","Naperville","IL","60563","","Verified","$501,000"
"Fraiche Bakery & Cafe","","Susan","Friedman","815 Noyes St","Evanston","IL","60201","","Unverified","$668,000"
"Ganson's Bakery & Cafe","","Chris","Thompson","2819 47th Street Ct","Rock Island","IL","61201","","Unverified","$691,000"
"Hot Cakes Bakery","","Suzanne","Marcos","1840 Holste Rd","Northbrook","IL","60062","","Verified","$971,000"
"Ideal Bakery","","Alex","Tarabanseg","4765 N Milwaukee Ave","Chicago","IL","60630","IDEAL BAKERY & PASTRY INC","Verified","$910,000"
"Ingram's Busy Bee Bakery","","Charles","Klousek","5126 Main St","Downers Grove","IL","60515","","Unverified","$752,000"
"Iversen's Bakery","","Chris","Iversen","12948 Western Ave # 1","Blue Island","IL","60406","IVERSEN'S BAKERY LLC","Verified","$546,000"
"Ivy Lane Bakery","","Susan","Goeckner","405 N Main St","Bloomington","IL","61701","","Verified","$803,000"
"Jazzman's Cafe & Bakery","","","","675 W Kirchhoff Rd","Arlington Heights","IL","60005","","Unverified","$596,000"
"Jazzman's Cafe & Bakery","","","","2000 Ogden Ave","Aurora","IL","60504","","Unverified","$518,000"
"Jazzman's Cafe & Bakery","","","","407 S Calumet Ave","Aurora","IL","60506","","Unverified","$518,000"
"Jimenez Express & Bakery","","","","473 W Irving Park Rd","Bensenville","IL","60106","","Unverified","$516,000"
"Kavkaz Grill & Bakery Inc","","","","770 W Dundee Rd","Arlington Heights","IL","60004","KAVKAZ GRILL & BAKERY INC","Unverified","$655,000"
"Kirby's Korner Bakery","","Kathy","Kirby","165 S State St","Manhattan","IL","60442","","Verified","$713,000"
"Kolateks Bakery","","Janusz","Kolatek","2445 N Harlem Ave","Chicago","IL","60707","KOLATEKS BAKERY INC","Verified","$607,000"
"Kroger Bakery","KROGER CO","","","1405 W Garfield Ave","Bartonville","IL","61607","","Verified","$702,000"
"Kroger Bakery","KROGER CO","Demetri","Lacey","1704 W Deyoung St","Marion","IL","62959","","Verified","$868,000"
"Kroger Bakery","KROGER CO","April","Hall","801 W Lake Ave # 1a","Peoria","IL","61614","","Verified","$702,000"
